COUNTY,TRUMP_VOTES,TRUMP_PCT,BIDEN_VOTES,BIDEN_PCT,TOTAL_VOTE,TOTAL_VOTE_PCT,WHITE,BLACK,NATIVE_AMER,ASIAN,HISPANIC,AGE0_17,AGE18_24,AGE25_44,AGE45_64,AGE65_OLDER,TOTALPOP,TOTALVAXPOP,COVIDDOSES_TOTAL,COVID1DOSE,COVIDFULL,PERC1DOSE,PERCFULL,CURRPERCFULL,CURRFULLPCT,EST_FLUVAX_PCT,EST_FLUVAX_CT
Adair County,6413,0.62,3710,0.36,10123,0.4,23411,1130,113,745,668,4504,7086,4936,4958,3915,25314,20810,20537,"10,867","9,903",42.93,39.12,11565,55.57,0.447,11315
Andrew County,7255,0.74,2351,0.24,9606,0.53,17079,298,62,147,469,4036,1196,4175,4689,3490,18135,14099,14588,"7,876","7,336",43.43,40.45,8128,57.65,0.448,8124
Atchison County,2199,0.78,564,0.2,2763,0.52,5008,49,17,22,89,1021,296,1091,1358,1330,5305,4284,4644,"2,593","2,424",48.88,45.69,2870,66.99,0.484,2568
Audrain County,7732,0.73,2704,0.25,10436,0.42,22621,1844,181,189,830,5676,1879,6244,6384,4652,24962,19286,17998,"9,659","8,450",38.69,33.85,9701,50.3,0.434,10834
Barry County,12425,0.8,2948,0.19,15373,0.45,33903,388,567,960,3476,8084,2538,7754,9596,7846,34534,26450,26223,"14,193","12,526",41.1,36.27,14706,55.6,0.432,14919
Barton County,5168,0.85,844,0.14,6012,0.52,11152,150,208,82,348,2702,879,2563,2986,2462,11637,8935,6896,"3,713","3,383",31.91,29.07,3775,42.25,0.449,5225
Bates County,6597,0.78,1672,0.2,8269,0.52,15698,301,176,67,420,3722,1213,3759,4256,3292,16042,12320,11118,"6,025","5,498",37.56,34.27,6312,51.23,0.42,6738
Benton County,8109,0.77,2180,0.21,10289,0.53,19113,207,191,116,433,3402,1009,3274,5670,6272,19394,15992,16400,"8,618","7,810",44.44,40.27,8771,54.85,0.468,9076
Bollinger County,5167,0.86,750,0.13,5917,0.56,11735,50,105,44,137,2591,796,2694,3436,2594,12225,7976,6865,"3,657","3,304",34.61,31.27,3626,45.46,0.435,4597
Boone County,38646,0.42,50064,0.55,88710,0.48,151380,20612,1032,9967,6594,37426,33253,49872,38159,24281,183610,146184,191856,"101,845","92,063",55.47,50.14,105928,72.46,0.513,94192
Buchanan County,22450,0.61,13445,0.37,35895,0.42,77601,6176,724,2029,5904,19314,7819,22822,21691,14884,84793,65479,61500,"33,075","30,596",39.01,36.08,32305,49.34,0.447,37902
Butler County,14602,0.81,3301,0.18,17903,0.42,38404,2924,387,463,966,9760,3255,10167,10714,8282,42130,32370,26196,"14,364","12,542",34.09,29.77,14582,45.05,0.41,17273
Caldwell County,3725,0.8,897,0.19,4622,0.52,8799,127,78,47,249,2098,724,1978,2413,1838,8815,6717,5874,"3,187","2,917",36.15,33.09,3555,52.93,0.425,3746
Callaway County,14815,0.7,5870,0.28,20685,0.47,41607,2514,338,428,999,9301,4659,11429,11769,7729,44283,34982,37018,"20,174","18,388",45.56,41.52,21623,61.81,0.494,21876
Camden County,18850,0.76,5652,0.23,24502,0.57,42853,335,259,139,1242,7923,2686,8528,13628,13649,45466,34822,32969,"18,731","17,166",43.82,40.16,20625,59.23,0.5,21373
Cape Girardeau County,28907,0.72,10760,0.27,39667,0.49,70369,7088,387,1668,2002,16932,11042,19278,18289,13971,81710,64778,69766,"37,322","33,463",45.68,40.95,38964,60.15,0.421,34400
Carroll County,3706,0.82,786,0.17,4492,0.53,8288,212,25,29,147,1872,675,1870,2221,1916,8495,6623,7012,"3,875","3,590",45.62,42.26,4314,65.14,0.441,3746
Carter County,2451,0.85,418,0.14,2869,0.55,5913,4,7,0,158,1377,431,1292,1631,1260,6147,3825,3319,"1,740","1,511",33.45,29.05,1741,45.52,0.431,2242
Cass County,37197,0.65,19052,0.33,56249,0.52,98580,5880,1003,1343,5116,25207,7955,26385,28370,18889,107824,82617,92444,"48,972","44,407",45.42,41.18,52667,63.75,0.439,47335
Cedar County,5788,0.82,1145,0.16,6933,0.49,13959,135,151,77,340,3458,994,2881,3646,3343,14188,10730,8917,"4,842","4,377",34.13,30.85,4907,45.73,0.429,6087
Chariton County,3111,0.76,916,0.23,4027,0.54,7078,227,34,21,73,1667,464,1478,1910,1841,7408,5741,5784,"3,087","2,806",41.67,37.88,3140,54.69,0.449,3326
Christian County,34920,0.75,11131,0.24,46051,0.52,87562,1267,979,847,3054,22738,6464,23818,22656,14979,88842,66104,74537,"39,722","36,064",44.71,40.59,41383,62.6,0.442,39268
Clark County,2672,0.79,678,0.2,3350,0.5,6570,21,18,69,41,1541,452,1482,1849,1506,6779,5093,3603,"1,948","1,798",29.36,27.1,2015,39.56,0.427,2833
Clay County,64605,0.51,59400,0.47,124005,0.49,221944,21217,2129,8173,18371,60214,20036,72440,63057,37716,253335,193121,93313,"49,560","45,441",19.56,17.94,56760,29.39,0.466,118054
Clinton County,7799,0.72,2896,0.27,10695,0.5,19808,409,184,152,506,4726,1505,4870,5619,3833,21184,16458,16449,"8,981","8,116",42.4,38.31,9802,59.56,0.448,9490
Cole County,26086,0.66,12694,0.32,38780,0.5,64689,9842,415,1245,2247,17028,6511,19797,19323,13532,77279,60251,71950,"38,194","34,900",49.42,45.16,39490,65.54,0.477,36862
Cooper County,6272,0.72,2249,0.26,8521,0.5,15639,1203,122,138,348,3773,1514,4187,4311,3317,17103,13330,13800,"7,235","6,497",42.3,37.99,7713,57.86,0.441,7542
Crawford County,8725,0.8,2113,0.19,10838,0.47,22986,90,9,51,485,5374,1692,5429,6442,4802,24154,17682,15626,"8,511","7,631",36.91,33.1,8572,48.48,0.416,9591
Dade County,3414,0.83,656,0.16,4070,0.54,7339,97,87,45,177,1605,498,1574,2070,1821,7569,5964,6024,"3,257","3,004",43.03,39.69,3402,57.04,0.446,3376
Dallas County,6619,0.82,1380,0.17,7999,0.47,16769,154,196,100,388,4101,1117,3844,4556,3601,17071,12970,10733,"5,788","5,214",33.91,30.54,6035,46.53,0.447,7631
Daviess County,3102,0.79,746,0.19,3848,0.46,8106,104,51,22,139,2080,666,1733,2057,1747,8430,6350,4658,"2,647","2,460",31.4,29.18,3155,49.69,0.443,3734
DeKalb County,3828,0.79,930,0.19,4758,0.43,9945,855,78,66,295,2127,834,3013,2889,2081,11029,8902,6898,"3,759","3,516",34.08,31.88,3878,43.56,0.399,4401
Dent County,5987,0.84,1056,0.15,7043,0.49,14661,64,99,39,274,3437,1049,3318,4162,3515,15545,10984,9020,"4,824","4,257",33.45,29.52,5069,46.15,0.43,6201
Douglas County,5898,0.84,1016,0.15,6914,0.6,13040,30,67,11,115,2920,759,2665,3595,3405,13306,8658,5967,"3,287","2,745",28.39,23.71,3212,37.1,0.444,5141
Dunklin County,8135,0.78,2200,0.21,10335,0.37,24994,3440,159,285,2056,7421,2274,6506,7199,5478,28283,20862,17920,"9,911","8,506",35.04,30.07,10149,48.65,0.454,12840
Franklin County,38058,0.71,14569,0.27,52627,0.5,101720,1406,538,805,1935,23524,7752,24875,29046,19272,104682,81158,94754,"50,530","46,458",48.27,44.38,53927,66.45,0.497,52027
Gasconade County,6222,0.79,1601,0.2,7823,0.53,14273,156,65,72,250,2988,985,3084,4071,3438,14794,11806,12245,"6,505","6,009",43.97,40.62,6755,57.22,0.479,7086
Gentry County,2581,0.8,613,0.19,3194,0.52,6348,39,19,36,107,1647,438,1470,1620,1309,6616,4515,4784,"2,583","2,413",41.92,39.16,2762,61.17,0.441,2717
Greene County,83630,0.59,55068,0.39,138698,0.46,271040,13135,2815,8007,11923,60747,39734,77123,66904,50489,298915,238168,262231,"139,281","126,725",46.6,42.39,148109,62.19,0.481,143778
Grundy County,3585,0.81,799,0.18,4384,0.45,9277,144,52,122,238,2342,710,2119,2291,2133,9808,7466,6373,"3,559","3,243",36.29,33.06,3846,51.51,0.454,4453
Harrison County,3198,0.84,597,0.16,3795,0.47,8138,87,44,52,227,2025,575,1756,2064,1901,8157,6132,4636,"2,613","2,342",32.03,28.71,2884,47.03,0.433,3532
Henry County,8027,0.74,2619,0.24,10646,0.49,21329,409,218,120,571,4869,1551,4881,5748,5027,21946,17077,17512,"9,247","8,251",42.14,37.6,9964,58.35,0.422,9261
Hickory County,3966,0.78,1056,0.21,5022,0.61,8913,3,152,25,164,1580,483,1521,2805,3197,9404,6699,6432,"3,434","3,130",41.48,37.81,3729,55.67,0.465,3850
Holt County,1976,0.84,338,0.14,2314,0.52,4118,43,53,18,62,845,255,820,1179,1133,4456,3611,3041,"1,728","1,606",38.78,36.04,2000,55.39,0.448,1996
Howard County,3553,0.7,1413,0.28,4966,0.49,9252,607,89,53,190,2205,1193,2123,2458,2022,10113,7908,8189,"4,341","3,874",42.92,38.31,4266,53.95,0.459,4642
Howell County,15181,0.81,3218,0.17,18399,0.46,39123,346,456,337,963,9684,3048,9342,10036,8152,40102,30418,25837,"14,191","12,156",35.39,30.31,14626,48.08,0.38,15239
Iron County,3596,0.78,945,0.21,4541,0.44,9788,206,85,19,187,2082,684,2230,2851,2251,10221,8139,6548,"3,512","3,115",34.36,30.48,3673,45.13,0.415,4242
Jackson County,126535,0.38,199842,0.6,326377,0.85,435027,161056,2097,13020,64986,164090,57800,201152,171797,111086,703011,219140,252377,"136,062","122,015",35.5,31.84,151622,69.19,0.435,166705
Jasper County,37728,0.72,13549,0.26,51277,0.67,100935,2189,1555,1357,9644,29808,11162,32305,28638,19735,121328,46681,47543,"25,398","22,719",33.2,29.7,26260,56.25,0.422,32278
Jefferson County,77046,0.66,37523,0.32,114569,0.51,219543,3621,992,2387,4889,51470,16636,59276,62677,36484,226739,175269,198197,"107,929","95,210",47.6,41.99,112438,64.15,0.438,99312
Johnson County,15489,0.67,6974,0.3,22463,0.42,49252,3160,529,1278,2766,11605,10779,13725,10985,7125,54013,42408,32058,"17,276","15,363",31.98,28.44,19087,45.01,0.388,20957
Knox County,1486,0.8,340,0.18,1826,0.49,3797,18,0,24,43,936,323,763,1035,883,3947,2808,2856,"1,499","1,429",40.04,38.17,1644,58.55,0.411,1539
Laclede County,13762,0.82,2780,0.17,16542,0.46,34697,557,351,290,969,8900,2651,8455,9301,6588,36039,27139,23299,"12,726","11,301",35.31,31.36,12947,47.71,0.435,15677
Lafayette County,12273,0.72,4472,0.26,16745,0.51,31500,960,239,307,1139,7635,2470,7741,8808,6352,32984,25349,25895,"13,930","12,642",42.23,38.33,15017,59.24,0.409,13490
Lawrence County,14426,0.81,3214,0.18,17640,0.46,36861,409,608,297,3096,9670,2937,8858,9644,7066,38001,28331,28262,"15,428","13,810",40.6,36.34,15654,55.25,0.393,14934
Lewis County,3553,0.77,984,0.21,4537,0.45,9328,371,57,54,191,2166,1209,2106,2426,1903,10032,7866,5693,"3,031","2,804",30.21,27.95,3038,38.62,0.466,4675
Lincoln County,21848,0.75,6607,0.23,28455,0.48,57786,1579,312,442,1553,15164,4569,16143,15666,8577,59574,44410,43979,"23,381","21,234",39.25,35.64,24447,55.05,0.395,23532
Linn County,4363,0.76,1275,0.22,5638,0.47,11555,188,46,41,323,2763,849,2632,3022,2564,11874,9111,9362,"4,912","4,403",41.37,37.08,5045,55.37,0.418,4963
Livingston County,5267,0.78,1410,0.21,6677,0.46,13689,517,79,128,290,3174,1075,3647,3527,2990,14557,11383,12343,"6,654","6,031",45.71,41.43,6813,59.85,0.442,6434
Macon County,6076,0.78,1662,0.21,7738,0.51,14401,494,61,139,246,3466,1095,3185,3874,3475,15209,11743,10839,"5,662","5,282",37.23,34.73,6110,52.03,0.454,6905
Madison County,4584,0.81,1019,0.18,5603,0.44,11779,121,71,142,292,2780,861,2812,3248,2412,12626,9846,8117,"4,396","3,781",34.82,29.95,4601,46.73,0.452,5707
Maries County,3892,0.82,814,0.17,4706,0.56,8403,26,90,91,113,1767,625,1923,2514,1966,8803,6665,5925,"3,198","2,874",37.93,34.08,3307,49.62,0.445,3752
Marion County,9915,0.74,3202,0.24,13117,0.46,26358,1740,84,241,553,6566,2618,6779,7128,5332,28525,21959,21220,"11,139","10,295",39.05,36.09,11700,53.28,0.469,13378
McDonald County,7465,0.83,1439,0.16,8904,0.38,20182,637,929,1152,2593,5758,1894,5400,6212,3636,23303,17545,12203,"7,091","5,486",30.43,23.54,7266,41.41,0.391,9111
Mercer County,1541,0.87,222,0.13,1763,0.5,3484,23,21,30,107,845,274,685,924,830,3538,2693,2229,"1,235","1,123",34.91,31.74,1348,50.06,0.465,1645
Miller County,10176,0.82,2038,0.17,12214,0.49,23898,63,313,121,489,6075,1898,6026,6698,5094,25201,18647,16158,"9,017","8,153",36.47,32.98,9081,48.7,0.407,10062
Mississippi County,3537,0.74,1178,0.25,4715,0.37,9421,3167,54,49,316,2744,1010,3290,3259,2388,12577,9833,9167,"5,091","4,350",40.48,34.59,4915,49.98,0.416,5232
Moniteau County,5744,0.8,1308,0.18,7052,0.46,14905,507,82,91,848,3883,1241,4006,3842,2613,15473,11590,11157,"5,867","5,369",37.92,34.7,5956,51.39,0.444,6870
Monroe County,3477,0.78,936,0.21,4413,0.51,8255,328,50,39,143,1895,575,1783,2306,2113,8666,6771,6069,"3,243","2,907",37.42,33.54,3553,52.47,0.468,4056
Montgomery County,4465,0.77,1208,0.21,5673,0.5,10899,284,43,68,279,2453,797,2538,3107,2399,11322,8869,9502,"5,032","4,551",44.44,40.2,5189,58.51,0.428,4846
Morgan County,7442,0.78,1924,0.2,9366,0.45,20139,258,205,114,497,4713,1374,4089,5512,5028,21006,16293,12306,"6,711","6,062",31.95,28.86,6795,41.71,0.407,8549
New Madrid County,5447,0.75,1748,0.24,7195,0.44,13709,2840,59,85,353,3869,1159,3785,4552,3328,16434,12565,11858,"6,364","5,583",38.72,33.97,6120,48.71,0.436,7165
Newton County,22120,0.78,5818,0.21,27938,0.48,53803,1013,1917,1718,3346,13856,4686,13706,15149,11054,58648,44792,27768,"15,348","13,542",26.17,23.09,16034,35.8,0.446,26157
Nodaway County,6865,0.69,2853,0.29,9718,0.46,20622,675,93,353,397,3435,6259,4309,4234,3506,21241,17806,18847,"9,940","9,280",46.8,43.69,10635,59.73,0.417,8857
Oregon County,3847,0.81,823,0.17,4670,0.54,10012,16,159,51,195,2354,672,2093,2833,2459,10647,6281,5626,"3,001","2,669",34.75,30.91,3144,50.06,0.448,3868
Osage County,6425,0.85,1037,0.14,7462,0.56,13411,24,16,4,112,3038,1168,3138,3704,2487,13615,10236,10915,"5,762","5,313",43.41,40.03,5905,57.69,0.449,5960
Ozark County,4064,0.84,752,0.16,4816,0.56,8773,6,84,47,166,1660,489,1645,2575,2714,9207,6893,4713,"2,594","2,193",30.33,25.64,2697,39.13,0.442,3780
Pemiscot County,4120,0.72,1560,0.27,5680,0.36,11097,4316,88,99,457,4040,1215,3644,3879,2822,15661,11621,7585,"4,706","3,400",30.05,21.71,4560,39.24,0.386,6045
Perry County,7657,0.81,1664,0.18,9321,0.49,18652,203,101,238,437,4381,1453,4516,5049,3795,18956,14575,13792,"7,285","6,677",38.43,35.22,7760,53.24,0.447,8473
Pettis County,13854,0.73,4783,0.25,18637,0.43,39478,1996,445,571,3899,10572,3564,10648,10305,7401,42980,32408,32726,"17,377","15,424",40.43,35.89,17906,55.25,0.433,18610
Phelps County,13480,0.69,5637,0.29,19117,0.43,40950,1309,481,1674,1244,9297,7276,10106,10069,7666,44638,35341,35138,"18,602","16,756",41.67,37.54,19490,55.15,0.427,19060
Pike County,5863,0.76,1717,0.22,7580,0.43,16230,1179,59,84,412,3994,1322,4414,4471,3351,17587,13593,12468,"6,658","6,144",37.86,34.93,6918,50.89,0.424,7457
Platte County,28917,0.51,27179,0.48,56096,0.53,92327,9192,793,4220,7006,25035,8266,29270,27393,16568,106718,81683,40117,"21,401","19,351",20.05,18.13,23449,28.71,0.48,51225
Polk County,11850,0.79,2885,0.19,14735,0.47,31363,467,332,328,865,7427,4051,7215,7905,5892,31519,24092,23751,"12,734","11,517",40.4,36.54,13543,56.21,0.444,13994
Pulaski County,10329,0.72,3740,0.26,14069,0.26,42177,7301,895,2336,6165,11463,11336,16241,8724,4945,53955,42492,18087,"9,944","8,496",18.43,15.75,11028,25.95,0.417,22499
Putnam County,1984,0.84,361,0.15,2345,0.5,4610,35,14,29,132,1054,308,964,1201,1161,4681,3627,2756,"1,466","1,359",31.32,29.03,1542,42.51,0.446,2088
Ralls County,4396,0.78,1205,0.21,5601,0.54,10019,194,25,61,154,2115,652,2244,2954,2334,10355,8240,7684,"3,975","3,718",38.39,35.91,1835,22.27,0.446,4618
Randolph County,8018,0.75,2485,0.23,10503,0.42,22349,1701,167,192,534,5228,2234,6530,6217,4200,24716,19488,17094,"9,356","7,907",37.85,31.99,9464,48.56,0.454,11221
Ray County,8345,0.72,3109,0.27,11454,0.49,22101,486,172,156,611,5115,1712,5285,6395,4408,23158,18043,17578,"9,750","9,034",42.1,39.01,10636,58.95,0.397,9194
Reynolds County,2733,0.83,529,0.16,3262,0.54,5982,108,91,17,111,1219,394,1279,1815,1491,6096,4877,3083,"1,675","1,469",27.48,24.1,1835,37.63,0.443,2701
Ripley County,4839,0.85,833,0.15,5672,0.53,12895,94,84,54,197,3075,865,3021,3549,2790,13567,7622,6630,"3,576","3,154",33.43,29.48,3713,48.71,0.389,4161
Saline County,6451,0.68,2904,0.31,9355,0.4,20465,1547,239,607,2600,5062,2581,5259,5648,4308,23333,18271,18135,"9,669","8,715",41.44,37.35,10133,55.46,0.433,10103
Schuyler County,1606,0.8,373,0.19,1979,0.49,4414,21,0,12,76,1150,346,1009,1131,898,4555,2882,2351,"1,272","1,180",31.55,29.27,1388,48.16,0.432,1742
Scotland County,1560,0.79,388,0.2,1948,0.41,4866,0,5,0,0,1387,381,1052,1099,952,4902,3329,2157,"1,165","1,061",24.7,22.5,1312,39.41,0.407,1919
Scott County,13769,0.78,3753,0.21,17522,0.46,32890,4981,200,217,1031,9144,2878,9345,9625,7296,38059,28915,26820,"14,418","12,785",37.88,33.59,14388,49.76,0.468,17812
Shannon County,3165,0.81,706,0.18,3871,0.55,7713,14,14,0,154,1758,514,1717,2292,1922,8217,5273,4722,"2,490","2,270",35.41,32.29,2780,52.72,0.418,2939
Shelby County,2700,0.81,592,0.18,3292,0.54,5756,117,30,16,149,1427,377,1324,1467,1324,6103,4676,4664,"2,454","2,300",40.21,37.69,2637,56.39,0.446,2722
St. Charles County,128389,0.58,89530,0.4,217919,0.54,367459,24479,1293,12973,14348,92500,33494,107656,106545,66009,405262,312762,433504,"228,025","210,141",56.27,51.85,244693,78.24,0.508,205873
St. Clair County,3932,0.79,988,0.2,4920,0.53,8854,68,88,36,120,1990,580,1876,2641,2602,9370,7294,6326,"3,392","3,073",36.54,33.1,3515,48.19,0.468,4345
St. Francois County,20511,0.73,7044,0.25,27555,0.41,62655,3107,357,366,1108,13990,5423,18460,17189,11423,66922,52932,50727,"28,333","24,511",42.34,36.63,29325,55.4,0.409,27371
St. Louis city,21474,0.16,110089,0.82,131563,0.44,146863,137507,1580,11695,12888,55302,25851,101547,71116,43829,301578,275727,292042,"162,058","140,978",53.74,46.75,173735,63.01,0.463,139631
St. Louis County,199493,0.37,328151,0.61,527644,0.53,681474,257400,3099,52047,30638,218138,81769,251826,254283,188004,1004125,948823,1093445,"581,934","521,104",57.95,51.9,620552,65.4,0.499,501058
Ste. Genevieve County,6630,0.7,2713,0.29,9343,0.51,17463,225,62,174,216,3929,1270,3996,4981,3748,18479,14550,15446,"8,146","7,469",44.08,40.42,8346,57.36,0.444,8205
Stoddard County,11484,0.86,1819,0.14,13303,0.46,28188,515,171,127,540,6327,2199,6909,7587,5979,28672,22345,20188,"10,929","9,644",38.12,33.64,11209,50.16,0.398,11411
Stone County,14800,0.8,3506,0.19,18306,0.59,29972,64,224,74,729,5266,1887,5591,9318,10403,31615,25810,25378,"13,388","12,298",43.08,39.57,13391,51.88,0.47,14606
Sullivan County,1974,0.8,478,0.19,2452,0.41,5639,221,105,68,1133,1353,491,1312,1641,1236,5999,4646,4410,"2,439","2,223",40.66,37.06,2617,56.33,0.391,2346
Taney County,20508,0.78,5339,0.2,25847,0.46,53113,1357,850,784,3610,11742,5171,12386,14002,12803,56066,44324,42276,"22,995","20,311",41.01,36.23,23133,52.19,0.423,23716
Texas County,9478,0.84,1716,0.15,11194,0.46,23735,968,301,108,593,5320,1846,5799,6593,5554,24487,19167,15571,"8,502","7,624",34.72,31.13,8504,44.37,0.402,9844
Vernon County,7155,0.78,1903,0.21,9058,0.46,19342,111,133,148,445,4750,1763,4483,5175,4217,20595,14957,12171,"6,683","6,103",33.91,30.97,7178,47.99,0.419,8257
Warren County,13222,0.72,4769,0.26,17991,0.51,35026,1096,223,249,1314,8576,2683,8787,9873,6675,35532,26956,27942,"14,799","13,584",41.65,38.23,15472,57.4,0.462,16416
Washington County,8047,0.81,1804,0.18,9851,0.42,23427,529,27,53,346,5536,1806,5941,6952,4369,24860,17978,15697,"8,465","7,422",36,31.56,8370,46.56,0.41,9641
Wayne County,4987,0.85,845,0.14,5832,0.53,12514,73,24,36,238,2563,762,2559,3687,3198,13195,8411,6930,"3,729","3,281",33.98,29.9,3894,46.3,0.406,4455
Webster County,14880,0.79,3573,0.19,18453,0.47,38672,582,406,199,924,10845,3056,9666,9955,6337,39085,28240,27374,"14,740","13,322",37.71,34.08,15719,55.66,0.412,16103
Worth County,877,0.79,215,0.19,1092,0.55,1914,25,9,5,40,372,138,399,526,518,1973,1601,1234,680,622,34.47,31.53,720,44.97,0.486,959
Wright County,7453,0.85,1168,0.13,8621,0.47,17855,198,169,103,446,4753,1309,3970,4587,3706,18188,13435,11811,"6,442","5,724",35.42,31.47,6535,48.64,0.416,7566